cust_id,lookalikes
C0001,"[('C0181', 0.9999251839984833), ('C0137', 0.996025375870459), ('C0147', 0.9874922403811391)]"
C0002,"[('C0069', 0.999935038710377), ('C0159', 0.9989927366965373), ('C0005', 0.9983476476321332)]"
C0003,"[('C0133', 0.9991852398470434), ('C0052', 0.9974365952784525), ('C0076', 0.9955246833958603)]"
C0004,"[('C0108', 0.9791824400551454), ('C0126', 0.9743673114291105), ('C0104', 0.9736935688987827)]"
C0005,"[('C0159', 0.9984059272397503), ('C0002', 0.9983476476321332), ('C0069', 0.9982216331191045)]"
C0006,"[('C0039', 0.9998238790821005), ('C0169', 0.9950823591067397), ('C0187', 0.991957739725093)]"
C0007,"[('C0146', 0.999037163171122), ('C0044', 0.9881294112561162), ('C0074', 0.9878528167708537)]"
C0008,"[('C0122', 0.9792373212013373), ('C0163', 0.9788947161451489), ('C0012', 0.9784112015797068)]"
C0009,"[('C0119', 0.9598950586752973), ('C0167', 0.9460993846696847), ('C0198', 0.9235936437915623)]"
C0010,"[('C0063', 0.9959986371599239), ('C0019', 0.9947599725372853), ('C0061', 0.99208472606121)]"
C0011,"[('C0191', 0.979438984443492), ('C0153', 0.9681985678584984), ('C0039', 0.9631146913872086)]"
C0012,"[('C0163', 0.9944803584921055), ('C0016', 0.9937165471313227), ('C0008', 0.9784112015797068)]"
C0013,"[('C0102', 0.9959675992039416), ('C0104', 0.9670819724191597), ('C0004', 0.9644553442030849)]"
C0014,"[('C0060', 0.9994994480563444), ('C0198', 0.9706914409961288), ('C0097', 0.9420543594247492)]"
C0015,"[('C0094', 0.9978523679159884), ('C0176', 0.980926865944761), ('C0049', 0.9796288782911361)]"
C0016,"[('C0012', 0.9937165471313227), ('C0163', 0.9849110469239758), ('C0195', 0.9588827129177699)]"
C0017,"[('C0045', 0.9898318260992028), ('C0054', 0.9884347574021949), ('C0028', 0.9875174993479916)]"
C0018,"[('C0068', 0.9902233042380867), ('C0079', 0.9885763359515829), ('C0165', 0.9746696541832699)]"
C0019,"[('C0061', 0.9987078585254459), ('C0073', 0.9965887701282138), ('C0132', 0.9948174643789253)]"
C0020,"[('C0033', 0.9362868645431872), ('C0058', 0.9286594716993196), ('C0130', 0.9128454145266487)]"
